method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
CausalCLIPSeg,image+text,medclipseg_covid19,456,2113,0.818602,0.729644,0.682253,19.887590,5.506964,0.000947,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_covid19/seed456/controls/true/summary.csv
CausalCLIPSeg,image+text,medclipseg_covid19,789,2113,0.819935,0.729925,0.684278,20.019415,5.406645,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_covid19/seed789/controls/true/summary.csv
LViT,image+text,medclipseg_busi,123,78,0.819449,0.747043,0.396392,51.257576,13.735031,0.025641,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busi/seed123/controls/true/summary.csv
LViT,image+text,medclipseg_busi,456,78,0.808575,0.735806,0.417327,47.360899,15.064998,0.012821,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busi/seed456/controls/true/summary.csv
LViT,image+text,medclipseg_busi,789,78,0.826190,0.756139,0.424191,45.655959,14.364951,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busi/seed789/controls/true/summary.csv
LViT,image+text,medclipseg_clinicdb,123,61,0.916361,0.854750,0.654119,15.617057,3.746714,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_clinicdb/seed123/controls/true/summary.csv
LViT,image+text,medclipseg_clinicdb,456,61,0.906238,0.848858,0.666708,13.572002,3.382836,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_clinicdb/seed456/controls/true/summary.csv
LViT,image+text,medclipseg_clinicdb,789,61,0.908329,0.843155,0.637120,19.654318,4.759107,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_clinicdb/seed789/controls/true/summary.csv
LViT,image+text,medclipseg_busbra,123,282,0.875479,0.796003,0.498738,20.874073,5.932646,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busbra/seed123/controls/true/summary.csv
LViT,image+text,medclipseg_busbra,456,282,0.878183,0.799019,0.510628,19.860428,5.506620,0.000000,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busbra/seed456/controls/true/summary.csv
