model,dataset,seed,dice,iou,samples,source
umamba,medclipseg_busbra,456,0.907723000,0.840623000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busbra/seed456/controls/true/summary.csv
umamba,medclipseg_busbra,789,0.903906000,0.835560000,282,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_busbra/seed789/controls/true/summary.csv
umamba,medclipseg_brisc,123,0.858495000,0.797512000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_brisc/seed123/controls/true/summary.csv
umamba,medclipseg_brisc,456,0.847267000,0.784439000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_brisc/seed456/controls/true/summary.csv
umamba,medclipseg_brisc,789,0.855370000,0.792984000,892,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_brisc/seed789/controls/true/summary.csv
umamba,medclipseg_covid19,123,0.790535000,0.695833000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_covid19/seed123/controls/true/summary.csv
umamba,medclipseg_covid19,456,0.787744000,0.693189000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_covid19/seed456/controls/true/summary.csv
umamba,medclipseg_covid19,789,0.793991000,0.701476000,2113,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/umamba/medclipseg_covid19/seed789/controls/true/summary.csv
ukan,medclipseg_busi,123,0.809338000,0.742602000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busi/seed123/controls/true/summary.csv
ukan,medclipseg_busi,456,0.749992000,0.681865000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busi/seed456/controls/true/summary.csv
ukan,medclipseg_busi,789,0.753561000,0.686788000,78,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/ukan/medclipseg_busi/seed789/controls/true/summary.csv
