run_id,method,biomedclip,atconv,equiprompt,dataset,seed,dice,iou,source
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUSI,456,0.845523,0.780575,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_busi/seed456/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUSI,789,0.844168,0.778256,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_busi/seed789/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,ClinicDB,123,0.918612,0.85981,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_clinicdb/seed123/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,ClinicDB,456,0.908459,0.850209,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_clinicdb/seed456/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,ClinicDB,789,0.898897,0.836483,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_clinicdb/seed789/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUS-BRA,123,0.894383,0.821232,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_busbra/seed123/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUS-BRA,456,0.887024,0.811717,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_busbra/seed456/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BUS-BRA,789,0.894374,0.820498,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_busbra/seed789/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BRISC,123,0.864498,0.794412,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_brisc/seed123/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BRISC,456,0.862363,0.791574,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_brisc/seed456/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,BRISC,789,0.863253,0.79334,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_brisc/seed789/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,COVID-19,123,0.819509,0.729664,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_covid19/seed123/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,COVID-19,456,0.819077,0.73018,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_covid19/seed456/controls/true/summary.csv
V3_ABL_ATCONV,Base + ATConv,No,Yes,No,COVID-19,789,0.821977,0.731848,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_ATCONV/medclipseg_covid19/seed789/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUSI,123,0.84924,0.783546,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_busi/seed123/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUSI,456,0.843848,0.774963,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_busi/seed456/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUSI,789,0.853067,0.783895,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_busi/seed789/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,ClinicDB,123,0.920252,0.861927,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_clinicdb/seed123/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,ClinicDB,456,0.911509,0.854139,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_clinicdb/seed456/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,ClinicDB,789,0.913081,0.851026,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_clinicdb/seed789/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUS-BRA,123,0.889752,0.817593,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_busbra/seed123/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUS-BRA,456,0.893344,0.819925,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_busbra/seed456/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BUS-BRA,789,0.889409,0.8153,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_busbra/seed789/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BRISC,123,0.866421,0.796076,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_brisc/seed123/controls/true/summary.csv
V3_ABL_BIOMED_ATCONV,Base + BioMedCLIP + ATConv,Yes,Yes,No,BRISC,456,0.863846,0.793719,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_ABL_BIOMED_ATCONV/medclipseg_brisc/seed456/controls/true/summary.csv
