method,modality,dataset,seed,test_n,nonempty_n,empty_n,overall_dice,nonempty_dice,nonempty_iou,empty_specificity,empty_false_positive_rate,nonempty_empty_prediction_rate,source
CausalCLIPSeg,image+text,medclipseg_brisc,123,892,753,139,0.8639272320627802,0.8388088857901727,0.7567723173970784,1.0,0.0,0.01593625498007968,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_brisc/seed123/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_brisc,456,892,753,139,0.8616550134529148,0.8361172270916335,0.7524591513944223,1.0,0.0,0.0013280212483399733,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_brisc/seed456/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_brisc,789,892,753,139,0.8577918968609866,0.8315409986719787,0.7448007848605578,1.0,0.0,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_brisc/seed789/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_covid19,123,2113,2113,0,0.8169631140558448,0.8169631140558448,0.7277546109796498,,,0.001419782300047326,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_covid19/seed123/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_covid19,456,2113,2113,0,0.8186022721249409,0.8186022721249409,0.7296441732134407,,,0.000946521533364884,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_covid19/seed456/controls/true/per_case.csv
CausalCLIPSeg,image+text,medclipseg_covid19,789,2113,2113,0,0.819935061050639,0.819935061050639,0.7299250884997633,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_R0/medclipseg_covid19/seed789/controls/true/per_case.csv
CausalCLIPSeg,image+text,busi_hf,123,102,102,0,0.8473295490196079,0.8473295490196079,0.7621094509803922,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_R0/busi_hf/seed123/controls/true/per_case.csv
CausalCLIPSeg,image+text,busi_hf,456,102,102,0,0.8444185294117648,0.8444185294117648,0.7626093725490196,,,0.00980392156862745,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_R0/busi_hf/seed456/controls/true/per_case.csv
CausalCLIPSeg,image+text,busi_hf,789,102,102,0,0.8476370196078431,0.8476370196078431,0.7669424117647059,,,0.0,<PROJECT_ROOT>/logs/protocol_v3/87227702b7ed4d29fe7071a89e74cd68177e5204d74287b4808120154b600cec/V3_R0/busi_hf/seed789/controls/true/per_case.csv
LViT,image+text,medclipseg_busi,123,78,65,13,0.8194490384615385,0.7987234615384615,0.7118361076923077,0.9230769230769231,0.07692307692307687,0.015384615384615385,<PROJECT_ROOT>/logs/protocol_v3/abb8ccb2d46cf039a4a0c573d733e3bc510636e6dfa7e59032508ab96fc0f718/V3_LVIT_PUBMEDBERT/medclipseg_busi/seed123/controls/true/per_case.csv
